TransactionID,CustomerID,Gender,Age,City,ProductCategory,Quantity,Price,PurchaseDate,PaymentMode,TotalAmount,Month,DayOfWeek,AgeGroup
T00001,C2824,0,0.28846153846153855,1,3,3,0.8936734693877552,2023-03-15,1,0.5364950279801924,March,Wednesday,26-40
T00002,C1409,2,0.03846153846153849,9,1,5,0.19408163265306125,2023-01-22,0,0.2070936833205846,January,Sunday,18-25
T00003,C5506,2,0.5576923076923077,9,4,1,0.0022448979591836726,2023-04-18,3,0.0,April,Tuesday,41-60
T00004,C5012,2,0.05769230769230771,4,5,5,0.5808163265306122,2023-08-09,1,0.5885502636982165,August,Wednesday,18-25
T00005,C4657,0,0.4423076923076924,2,6,1,0.616938775510204,2023-09-23,3,0.12126092032690526,September,Saturday,41-60
T00006,C3286,1,0.8653846153846155,3,4,2,0.5424489795918367,2023-05-23,0,0.21760135271146183,May,Tuesday,60+
T00007,C2679,2,0.23076923076923084,9,2,5,0.1389795918367347,2023-10-22,0,0.15274366922984017,October,Sunday,26-40
T00008,C9935,0,0.326923076923077,4,1,5,0.9181632653061225,2023-11-12,1,0.9212931277426628,November,Sunday,26-40
T00009,C2424,0,0.4423076923076924,5,1,5,0.44142857142857145,2023-06-10,1,0.45106485768348165,June,Saturday,41-60
T00010,C7912,1,1.0,7,5,1,0.223265306122449,2023-02-20,2,0.04360078908168606,February,Monday,60+
T00011,C1520,1,0.5576923076923077,2,1,5,0.6826530612244898,2023-06-27,0,0.6889971415918515,June,Tuesday,41-60
T00012,C1488,0,0.6153846153846154,2,6,5,0.4928571428571429,2023-05-26,1,0.5017915375015097,May,Friday,41-60
T00013,C2535,1,0.48076923076923084,5,5,2,0.5426530612244898,2023-03-26,3,0.21768187125085553,March,Sunday,41-60
T00014,C4582,2,0.7692307692307693,2,4,4,0.09571428571428572,2023-03-02,1,0.08716131889367527,March,Thursday,41-60
T00015,C4811,0,0.13461538461538464,9,6,5,0.017346938775510204,2023-05-28,1,0.03277104553323403,May,Sunday,26-40
T00016,C9279,2,0.826923076923077,4,0,1,0.5942857142857143,2023-05-21,3,0.11679214139055517,May,Sunday,60+
T00017,C1434,0,0.019230769230769273,3,4,1,0.36653061224489797,2023-09-07,3,0.07186279640887314,September,Thursday,18-25
T00018,C4257,2,0.28846153846153855,1,3,5,0.46755102040816326,2023-08-13,3,0.4768307902894642,August,Sunday,26-40
T00019,C9928,1,0.4423076923076924,1,2,2,0.2953061224489796,2023-04-25,3,0.12009340150569668,April,Tuesday,41-60
T00020,C7873,1,0.5961538461538463,2,1,1,0.42795918367346936,2023-03-28,0,0.0839808365876243,March,Tuesday,41-60
T00021,C4611,2,0.730769230769231,3,2,3,0.026122448979591838,2023-05-28,1,0.023068561536293733,May,Sunday,41-60
T00022,C8359,0,0.5384615384615385,0,3,2,0.8983673469387755,2023-05-13,2,0.3580256854140666,May,Saturday,41-60
T00023,C5557,0,0.21153846153846156,7,5,2,0.9751020408163266,2023-11-07,3,0.38830065622609605,November,Tuesday,26-40
T00024,C1106,2,0.576923076923077,0,5,5,0.17775510204081635,2023-02-24,3,0.1909899754418455,February,Friday,41-60
T00025,C3615,2,0.7115384615384616,2,0,4,0.6385714285714286,2023-04-29,2,0.5155199484681348,April,Saturday,41-60
T00026,C7924,1,0.6730769230769232,7,1,1,0.43020408163265306,2023-12-08,0,0.08442368855428962,December,Friday,41-60
